periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-OA01. New attendance,105-OA02. Re-attendance,108-CI02. No. of admissions,105-MA04a. Deliveries in unit - Total,105-PN01a. Post Natal Attendances - Mother,105-AN05. Total ANC contacts/visits (New clients + Re-attendances),105-CL01. BCG,105-CL02. Protection At Birth for TT(PAB),105-CL07. IPV,105-CL11. PCV 1,105-CL12. PCV 2,105-CL13. PCV 3,105-CL14. Rotavirus 1 Vaccine,105-CL15. Rotavirus 2 Vaccine,105-CL16. Measles (MR1),105-CL17. Measles 2 (MR2),105-FP01. Oral. Lo-Femenal,105-FP02. Oral. Microgynon,105-FP03. Oral. Ovrette or another POP,105-FP04. Oral. Levonogesteral,105-FP05. Oral. Others,105-FP06. Injectable DMPA(IM)3 months,105-FP07. Injectable DMPA(SC) 3 months,105-FP08. Injection 2 months,105-FP09. Injection 1 month,"105-FP10. 3 year implant (e.g. implananon NXT, Levo plant)",105-FP11. 4 year implant (e.g. Sino plant),105-FP12. 5 year implant (e.g. Jadella),105-FP13. IUD-Copper-T,105-FP14. IUD-Hormonal,105-FP15. FAM-SDM method,105-FP16. FAM-LAM,105-FP17. FAM-Two Days Method,105-FP18. Emergency Contraceptive Pills users,105-FP19. Female Condoms,105-FP20. Male Condoms,105-HT06. Individuals Received HIV test results,105-MF01. Female sterilization (tubal ligation),105-MF02. Male sterilization (vasectomy),105-PN01b. Post Natal Attendances,105-CH01. Vit A supplement (1st Dose),105-CH02. Vit A supplement (2nd Dose)
202301,January 2023,202301,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care Health Centre II,BQl9b7pSAhx,Access Life Care Health Centre II,,,244.0,160.0,,8.0,14.0,34.0,0.0,0.0,17.0,22.0,33.0,16.0,22.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0,,5.0,23.0,,,22.0,,8.0,2.0,,0.0,0.0,0.0,6.0,2.0,26.0,40.0,2.0,0.0,14.0,64.0,74.0
202301,January 2023,202301,,MOH - Uganda,Kampala,Kampala District,Central Division,Adventist Medical Centre,aWtkpwtp9JE,Adventist Medical Centre,,,214.0,62.0,,2.0,17.0,16.0,7.0,7.0,25.0,5.0,3.0,6.0,13.0,8.0,17.0,1.0,,,,,,11.0,50.0,,,12.0,,6.0,1.0,,,,,,,,57.0,,,17.0,24.0,25.0
202301,January 2023,202301,,MOH - Uganda,North Central,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,MGoloBUb8vi,Arch Bishop Kiwanuka Mayirye Health Centre III,,,99.0,20.0,58.0,14.0,29.0,40.0,10.0,,11.0,15.0,11.0,10.0,15.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,54.0,,,29.0,11.0,
202301,January 2023,202301,,MOH - Uganda,South Central,Wakiso District,Wakiso Subcounty,Bbira Ngo Health Centre II,alzSFDpdbba,Bbira Ngo Health Centre II,,,247.0,126.0,,42.0,,294.0,143.0,139.0,361.0,225.0,171.0,200.0,7.0,2.0,221.0,,,3.0,,,,,35.0,,,,,,,,,,,,,3.0,135.0,,,,,
202301,January 2023,202301,,MOH - Uganda,North Central,Luwero District,Luweero Town Council,Bishop Ascili Hospital,adofLhuj4HH,Bishop Ascili Hospital,,,909.0,757.0,288.0,116.0,37.0,190.0,18.0,0.0,14.0,14.0,17.0,12.0,9.0,10.0,12.0,0.0,,6.0,,1.0,,4.0,35.0,,,,,,,,,,,,30.0,56.0,435.0,,,37.0,45.0,33.0
202301,January 2023,202301,,MOH - Uganda,Busoga,Kamuli District,Kitayunjwa Subcounty,Budhatemwa Health Centre II,M7IdNzIwa32,Budhatemwa Health Centre II,,,400.0,45.0,,24.0,64.0,54.0,24.0,20.0,45.0,15.0,13.0,30.0,15.0,13.0,30.0,,,3.0,,,,39.0,25.0,,,12.0,,,,,,,,1.0,,13.0,,,,36.0,44.0,15.0
202301,January 2023,202301,,MOH - Uganda,North Central,Luwero District,Busiika Town Council,Bugema University Health Centre III,hrEjabfmkqU,Bugema University Health Centre III,,,1050.0,49.0,,7.0,16.0,39.0,4.0,4.0,24.0,32.0,39.0,33.0,15.0,14.0,39.0,,,8.0,,,,29.0,,,,13.0,,6.0,6.0,,,,,3.0,,13.0,6.0,,,16.0,34.0,238.0
202301,January 2023,202301,,MOH - Uganda,Busoga,Kamuli District,Butansi Subcounty,Bugeywa Health Centre II,b9niqLqoyqP,Bugeywa Health Centre II,,,659.0,59.0,37.0,35.0,245.0,173.0,58.0,,67.0,75.0,63.0,40.0,75.0,63.0,77.0,1.0,,,35.0,2.0,,103.0,189.0,,,82.0,,30.0,,,,,,4.0,,5.0,164.0,,,245.0,58.0,113.0
202301,January 2023,202301,,MOH - Uganda,Busoga,Kamuli District,Bugulumbya Subcounty,Bugulumbya Flep Health Centre II,ptjWwKVSEsQ,Bugulumbya Flep Health Centre II,,,374.0,22.0,,1.0,,47.0,15.0,,21.0,21.0,17.0,15.0,21.0,17.0,11.0,,,9.0,,,,16.0,36.0,,,3.0,,,,,,,,21.0,,59.0,,,,,19.0,16.0
202301,January 2023,202301,,MOH - Uganda,South Central,Gomba District,Kyegonza Subcounty,Bukalagi Health Centre III,tw7g2aShrXi,Bukalagi Health Centre III,,,226.0,,111.0,13.0,40.0,75.0,50.0,41.0,24.0,47.0,38.0,21.0,47.0,38.0,53.0,3.0,,,,,,,,,,,,,,,,33.0,,,,,163.0,,,40.0,113.0,125.0
