periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-OA01. New attendance,105-OA02. Re-attendance,108-CI02. No. of admissions,105-MA04a. Deliveries in unit - Total,105-PN01a. Post Natal Attendances - Mother,105-AN05. Total ANC contacts/visits (New clients + Re-attendances),105-CL01. BCG,105-CL02. Protection At Birth for TT(PAB),105-CL07. IPV,105-CL11. PCV 1,105-CL12. PCV 2,105-CL13. PCV 3,105-CL14. Rotavirus 1 Vaccine,105-CL15. Rotavirus 2 Vaccine,105-CL16. Measles (MR1),105-CL17. Measles 2 (MR2),105-FP01. Oral. Lo-Femenal,105-FP02. Oral. Microgynon,105-FP03. Oral. Ovrette or another POP,105-FP04. Oral. Levonogesteral,105-FP05. Oral. Others,105-FP06. Injectable DMPA(IM)3 months,105-FP07. Injectable DMPA(SC) 3 months,105-FP08. Injection 2 months,105-FP09. Injection 1 month,"105-FP10. 3 year implant (e.g. implananon NXT, Levo plant)",105-FP11. 4 year implant (e.g. Sino plant),105-FP12. 5 year implant (e.g. Jadella),105-FP13. IUD-Copper-T,105-FP14. IUD-Hormonal,105-FP15. FAM-SDM method,105-FP16. FAM-LAM,105-FP17. FAM-Two Days Method,105-FP18. Emergency Contraceptive Pills users,105-FP19. Female Condoms,105-FP20. Male Condoms,105-HT06. Individuals Received HIV test results,105-MF01. Female sterilization (tubal ligation),105-MF02. Male sterilization (vasectomy),105-PN01b. Post Natal Attendances,105-CH01. Vit A supplement (1st Dose),105-CH02. Vit A supplement (2nd Dose)
202101,January 2021,202101,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care Health Centre II,BQl9b7pSAhx,Access Life Care Health Centre II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202101,January 2021,202101,,MOH - Uganda,Kampala,Kampala District,Central Division,Adventist Medical Centre,aWtkpwtp9JE,Adventist Medical Centre,,,192.0,97.0,11.0,5.0,25.0,8.0,6.0,,9.0,16.0,9.0,9.0,17.0,10.0,13.0,,,,,,,11.0,22.0,,,25.0,,14.0,7.0,,,,,5.0,,118.0,63.0,,,25.0,73.0,24.0
202101,January 2021,202101,,MOH - Uganda,North Central,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,MGoloBUb8vi,Arch Bishop Kiwanuka Mayirye Health Centre III,,,187.0,27.0,36.0,9.0,23.0,22.0,18.0,,18.0,21.0,19.0,18.0,21.0,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,83.0,40.0
202101,January 2021,202101,,MOH - Uganda,South Central,Wakiso District,Wakiso Subcounty,Bbira Ngo Health Centre II,alzSFDpdbba,Bbira Ngo Health Centre II,,,208.0,45.0,,13.0,13.0,147.0,50.0,50.0,30.0,41.0,30.0,29.0,41.0,30.0,29.0,,,2.0,,,,6.0,19.0,,,17.0,,9.0,5.0,,,,,,,3.0,,,,13.0,,
202101,January 2021,202101,,MOH - Uganda,North Central,Luwero District,Luweero Town Council,Bishop Ascili Hospital,adofLhuj4HH,Bishop Ascili Hospital,,,1017.0,1061.0,288.0,58.0,116.0,123.0,69.0,,114.0,44.0,85.0,114.0,44.0,85.0,77.0,,,,,,,,,,,,,,,,,,,,,,344.0,,,116.0,543.0,243.0
202101,January 2021,202101,,MOH - Uganda,Busoga,Kamuli District,Kitayunjwa Subcounty,Budhatemwa Health Centre II,M7IdNzIwa32,Budhatemwa Health Centre II,,,167.0,30.0,,46.0,,69.0,,,19.0,58.0,21.0,19.0,58.0,21.0,80.0,,,,,,,37.0,16.0,,,60.0,,10.0,,,,,,6.0,,,,,,,48.0,21.0
202101,January 2021,202101,,MOH - Uganda,North Central,Luwero District,Busiika Town Council,Bugema University Health Centre III,hrEjabfmkqU,Bugema University Health Centre III,,,174.0,7.0,,,14.0,18.0,13.0,9.0,52.0,58.0,55.0,48.0,37.0,32.0,31.0,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,1.0,70.0,,,13.0,62.0,23.0
202101,January 2021,202101,,MOH - Uganda,Busoga,Kamuli District,Butansi Subcounty,Bugeywa Health Centre II,b9niqLqoyqP,Bugeywa Health Centre II,,,747.0,27.0,62.0,62.0,320.0,293.0,148.0,,89.0,98.0,76.0,89.0,98.0,76.0,78.0,,,,27.0,11.0,,148.0,153.0,,,184.0,,135.0,2.0,,,,,,,115.0,299.0,,,320.0,83.0,97.0
202101,January 2021,202101,,MOH - Uganda,Busoga,Kamuli District,Bugulumbya Subcounty,Bugulumbya Flep Health Centre II,ptjWwKVSEsQ,Bugulumbya Flep Health Centre II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202101,January 2021,202101,,MOH - Uganda,South Central,Gomba District,Kyegonza Subcounty,Bukalagi Health Centre III,tw7g2aShrXi,Bukalagi Health Centre III,,,193.0,10.0,80.0,14.0,24.0,74.0,48.0,43.0,46.0,49.0,39.0,46.0,49.0,39.0,43.0,,,,,,,,,,,,,,,,,20.0,,,,,249.0,,,24.0,501.0,
202101,January 2021,202101,,MOH - Uganda,North Central,Mityana District,Kikandwa Subcounty,Bukalamuli Health Centre III,aX6RTPDgyh1,Bukalamuli Health Centre III,,,221.0,8.0,,13.0,10.0,15.0,17.0,7.0,,21.0,15.0,18.0,17.0,14.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,38.0,,,10.0,25.0,
202101,January 2021,202101,,MOH - Uganda,Teso,Bukedea District,Bukedea Town Council,Bukedea Mission Health Centre II,aNchHEjSnch,Bukedea Mission Health Centre II,,,171.0,53.0,,13.0,46.0,121.0,18.0,18.0,18.0,23.0,19.0,18.0,23.0,19.0,44.0,,,,,,,,,,,,,,,,,,,,,,51.0,,,46.0,42.0,5.0
202101,January 2021,202101,,MOH - Uganda,North Central,Mukono District,Goma Division,Bukerere Health Centre II,l5HaUjsJOQX,Bukerere Health Centre II,,,700.0,1033.0,,7.0,90.0,41.0,38.0,239.0,61.0,49.0,52.0,61.0,48.0,50.0,59.0,23.0,,,,,,,,,,,,,,,2.0,14.0,2.0,,,,51.0,,,90.0,66.0,38.0
202101,January 2021,202101,,MOH - Uganda,North Central,Kyankwanzi District,Butemba Town Council,Bukwiri COU Health Centre II,dxqfSox63Rh,Bukwiri COU Health Centre II,,,514.0,,,16.0,16.0,52.0,43.0,39.0,8.0,45.0,28.0,35.0,45.0,28.0,38.0,,,,,,,10.0,3.0,,,1.0,,,,,,16.0,,,,,50.0,,,16.0,535.0,5.0
202101,January 2021,202101,,MOH - Uganda,Busoga,Kamuli District,Nawanyago Subcounty,Bupadhengo Flep Health Centre II,Lgs45wMr4Ua,Bupadhengo Flep Health Centre II,,,298.0,47.0,,26.0,,52.0,27.0,,29.0,20.0,19.0,26.0,15.0,19.0,45.0,12.0,,,,,,,,,,15.0,,8.0,,,,,,28.0,,52.0,,,,,310.0,336.0
202101,January 2021,202101,,MOH - Uganda,Busoga,Namayingo District,Banda Subcounty,Busiro Church of God Health Centre III,s3KGtzqaMyJ,Busiro Church of God Health Centre III,,,117.0,0.0,,12.0,7.0,56.0,22.0,2.0,24.0,30.0,17.0,23.0,32.0,19.0,28.0,0.0,,4.0,,1.0,,21.0,12.0,,,12.0,4.0,4.0,7.0,,,,,9.0,3.0,15.0,150.0,0.0,,7.0,68.0,
202101,January 2021,202101,,MOH - Uganda,South Central,Masaka City,Nyendo-Mukungwe Division,Butende Health Centre III,S79Lcu8O003,Butende Health Centre III,,,233.0,127.0,112.0,20.0,75.0,38.0,31.0,31.0,32.0,32.0,30.0,21.0,32.0,28.0,34.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,97.0,,,75.0,28.0,30.0
202101,January 2021,202101,,MOH - Uganda,Busoga,Mayuge District,Buwaaya Subcounty,Buwaya Health Centre II,lCEffRvoU53,Buwaya Health Centre II,,,270.0,13.0,,20.0,22.0,102.0,27.0,27.0,29.0,38.0,20.0,29.0,38.0,20.0,39.0,,,,,,,16.0,26.0,,,1.0,,1.0,,,,,,,,2.0,,,,24.0,40.0,9.0
